Dataset,Remove Background,Use Mantiuk,Method,Use Fisher,Use Global Embedding,Embedding Model,count_local_evidence,num_vertices,num_neighbors,count_proposal_mode,count_local_mu,count_shortlist_B,count_mix_alpha,count_cal_pairs,count_cal_shortlist,count_cal_negs_per_query,Runs Requested,Runs Succeeded,Runs Failed,Last Log Path,Status,Num Images,Ground Truth,Fisher Method,Local Feature Method,GV Matcher,Proposal Mode,Local Evidence,Local µ,Shortlist B,Mix α,Calibration Method,Cal Pairs,Cal Shortlist,Cal Negs/Query,Skip Calibration,Num Vertices,Num Neighbors,Label Error Rate,Oracle Calls,Unique Oracle Pairs,Local Attempts,Local Cache Hits,Result,Std Error,CI Low (95%),CI High (95%),Runtime (minutes),Cal Pos,Cal Neg,Cal Pos Rate,Dataset Type,Estimate Mean,Estimate Std,Std Error Mean,Abs Error,Rel Error,CI Coverage (runs),Search Mode,Trial,Study
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,287,56,calibrated,0.7648201775139152,483,0.7878343514195605,2839,380,472,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0010_e61a5c2e_run00_seed10_20260207_203138.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,10,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,316,59,calibrated,0.5017742245652073,354,0.4939271974672302,3039,492,479,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0011_6213d7f6_run00_seed11_20260207_203750.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,350.0,0.0,250.0,20.0,0.0,5000.0,4764.0,21452.0,3548.0,36.47,7.8802,21.02,51.91,8.98,346.0,193.0,0.6419294990723562,WildlifeReID10k,36.47,0.0,7.8802,24.47,2.0391666666666666,0.0,optuna,11,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,443,65,calibrated,0.5183126506160006,433,0.649718774168802,2209,493,484,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0012_25c76acd_run00_seed12_20260207_204412.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,150.0,0.0,250.0,20.0,0.0,5000.0,4759.0,21301.0,3699.0,29.19,5.6222,18.17,40.21,80.39,702.0,298.0,0.702,WildlifeReID10k,29.19,0.0,5.6222,17.19,1.4325,0.0,optuna,12,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,285,52,calibrated,0.3088003182083609,301,0.5038526044905461,3178,166,508,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0013_44fb27ec_run00_seed13_20260207_205039.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,13,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,367,67,calibrated,0.7406523566889744,421,0.5088907889264774,3964,407,445,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0014_fe3f3ae8_run00_seed14_20260207_205756.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,350.0,0.0,250.0,20.0,0.0,5000.0,4764.0,21452.0,3548.0,36.47,7.8802,21.02,51.91,8.98,346.0,193.0,0.6419294990723562,WildlifeReID10k,36.47,0.0,7.8802,24.47,2.0391666666666666,0.0,optuna,14,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,436,97,calibrated,0.4715227288286429,331,0.698795378609804,2427,498,409,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0015_bf0a4013_run00_seed15_20260207_210610.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,150.0,0.0,250.0,20.0,0.0,5000.0,4759.0,21301.0,3699.0,29.19,5.6222,18.17,40.21,80.39,702.0,298.0,0.702,WildlifeReID10k,29.19,0.0,5.6222,17.19,1.4325,0.0,optuna,15,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,316,46,calibrated,0.5710431717421183,496,0.5571936390318538,3434,454,471,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0016_ec4b11cb_run00_seed16_20260207_211414.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,16,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,274,73,calibrated,0.6821864381425342,421,0.6753078678642885,2684,391,510,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0017_a3759fb3_run00_seed17_20260207_212217.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,350.0,0.0,250.0,20.0,0.0,5000.0,4764.0,21452.0,3548.0,36.47,7.8802,21.02,51.91,8.98,346.0,193.0,0.6419294990723562,WildlifeReID10k,36.47,0.0,7.8802,24.47,2.0391666666666666,0.0,optuna,17,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,342,91,calibrated,0.4219927085766448,283,0.4741967112706027,2195,288,458,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0018_db7f92fd_run00_seed18_20260207_212956.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,150.0,0.0,250.0,20.0,0.0,5000.0,4759.0,21301.0,3699.0,29.19,5.6222,18.17,40.21,80.39,702.0,298.0,0.702,WildlifeReID10k,29.19,0.0,5.6222,17.19,1.4325,0.0,optuna,18,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,417,62,calibrated,0.6112707284726826,461,0.6095035667227607,3676,171,547,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0019_95d19c0a_run00_seed19_20260207_213747.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,19,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,inliers,382,50,calibrated,0.534257367629078,332,0.7477967436936539,3348,460,503,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0020_46af3542_run00_seed20_20260207_214550.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,20,count_amvrakikosturtles_20260207_185412
cowdataset,1.0,True,ensamble,1.0,1.0,megadescriptor-l-384,conf_matches,398,43,calibrated,0.3750336897924174,270,0.6992891139136603,1997,462,382,1,1,0,evaluations/count/grid_search_logs/amvrakikosturtles/optuna_t0021_9710685e_run00_seed21_20260207_215346.log,ok,1388.0,12.0,ensamble,disk,lightglue,calibrated,inliers,0.5,100.0,0.6,isotonic_pchip,1000.0,100.0,250.0,0.0,250.0,20.0,0.0,5000.0,4768.0,21292.0,3708.0,45.13,10.9362,23.69,66.56,9.04,470.0,267.0,0.6377204884667571,WildlifeReID10k,45.13,0.0,10.9362,33.13,2.7608333333333337,0.0,optuna,21,count_amvrakikosturtles_20260207_185412
