dataset,num_images,num_identities,train_images,test_images,train_ids,test_ids,avg_imgs_per_id_train,min_train_per_id,max_train_per_id,p10_train,median_train,p90_train,imbalance_ratio_max_min_train,cv_train,gini_train,accuracy,macro_f1,weighted_f1,f1_weighted_minus_macro,macro_recall,weighted_recall,recall_weighted_minus_macro,spearman_support_vs_recall
atrw,5415,182,4340,1075,182,182,23.846153846153847,8.0,200.0,9.0,16.0,40.0,25.0,1.1328795542491954,0.436430850255735,0.9441860465116279,0.9555496480364087,0.9444792142706295,-0.011070433765779208,0.9567642446076513,0.9441860465116279,-0.012578198096023452,-0.24520580238991163
cowdataset,1388,12,1019,369,12,12,84.91666666666667,26.0,134.0,42.4,89.0,122.9,5.153846153846154,0.38145658268796073,0.21794242721622506,0.8455284552845529,0.726196050877357,0.8698377148855622,0.14364166400820522,0.8751071098651219,0.8455284552845529,-0.029578654580568964,-0.5220819243446668
chicks4freeid,1086,48,916,170,48,48,19.083333333333332,5.0,41.0,8.7,17.5,29.300000000000004,8.2,0.4067234936724271,0.22866630276564776,0.9,0.8641925204425204,0.890662083015024,0.026469562572503658,0.8795138888888889,0.9,0.020486111111111094,0.0929250443603176
czoo,2109,24,1686,423,24,24,70.25,50.0,89.0,56.3,71.5,82.0,1.78,0.15873907387162348,0.09064847765915382,0.9905437352245863,0.9907795761962429,0.9905374137052625,-0.0002421624909804132,0.9907738095238097,0.9905437352245863,-0.00023007429922339284,-0.09234168347364384
elpephants,2078,274,1573,505,274,272,5.740875912408759,1.0,17.0,2.0,5.0,10.0,17.0,0.595708259099498,0.3232073169034018,0.1900990099009901,0.14472714785214785,0.16939222493677938,0.02466507708463153,0.1682598039215686,0.1900990099009901,0.02183920597942149,0.26659967571622206
sealid,2080,57,1663,417,57,57,29.17543859649123,9.0,106.0,11.0,23.0,53.4,11.777777777777779,0.6673828313468166,0.34659408593642854,0.7889688249400479,0.6873639124627228,0.7839114116416511,0.09654749917892835,0.6984529521810223,0.7889688249400479,0.09051587275902562,0.3765638826723517
seastarreid2023,2077,91,1862,215,91,36,20.46153846153846,10.0,32.0,17.0,18.0,25.0,3.2,0.19779887589721842,0.10679760626054934,0.7990654205607477,0.8147969866390918,0.7900240984353136,-0.02477288820377821,0.8260275689223058,0.7990654205607477,-0.02696214836155808,-0.40558864771930175
