dataset,classes,pct_support_le1,recall_support_le1,pct_support_le2,recall_support_le2,recall_support_ge3,recall_bottom20pct_support,recall_top20pct_support
atrw,182,0.0,,0.2802197802197802,0.9901960784313726,0.9437487978518512,0.9901960784313726,0.936057758379187
chicks4freeid,48,0.041666666666666664,0.5,0.25,0.7916666666666666,0.9087962962962961,0.7916666666666666,0.9397435897435897
cowdataset,12,0.08333333333333333,1.0,0.16666666666666666,1.0,0.8501285318381463,1.0,0.7979620462046205
czoo,24,0.0,,0.0,,0.9907738095238097,0.9880952380952381,0.9833333333333333
elpephants,272,0.49264705882352944,0.13432835820895522,0.7610294117647058,0.1497584541062802,0.22717948717948716,0.13432835820895522,0.22717948717948716
sealid,57,0.0,,0.017543859649122806,0.0,0.7109253263271119,0.5128205128205128,0.9055483482566817
seastarreid2023,95,0.0,,0.021052631578947368,0.75,0.8276625704045059,0.914141414141414,0.7041040100250627
