dataset,class_key,support,recall,precision,f1
atrw,258,10.0,1.0,1.0,1.0
atrw,259,3.0,1.0,0.75,0.8571428571428571
atrw,261,6.0,1.0,1.0,1.0
atrw,262,14.0,1.0,1.0,1.0
atrw,264,5.0,1.0,1.0,1.0
atrw,265,8.0,1.0,1.0,1.0
atrw,267,5.0,1.0,1.0,1.0
atrw,268,5.0,1.0,1.0,1.0
atrw,27,2.0,1.0,1.0,1.0
atrw,270,19.0,1.0,1.0,1.0
atrw,271,3.0,0.6666666666666666,1.0,0.8
atrw,273,3.0,1.0,1.0,1.0
atrw,274,3.0,1.0,1.0,1.0
atrw,28,2.0,1.0,1.0,1.0
atrw,3,4.0,1.0,1.0,1.0
atrw,30,3.0,1.0,1.0,1.0
atrw,31,4.0,1.0,1.0,1.0
atrw,33,2.0,1.0,1.0,1.0
atrw,34,2.0,1.0,1.0,1.0
atrw,36,4.0,1.0,1.0,1.0
atrw,37,4.0,1.0,1.0,1.0
atrw,39,2.0,1.0,1.0,1.0
atrw,4,5.0,1.0,1.0,1.0
atrw,40,3.0,1.0,1.0,1.0
atrw,42,2.0,1.0,1.0,1.0
atrw,43,3.0,1.0,1.0,1.0
atrw,45,2.0,1.0,1.0,1.0
atrw,46,4.0,1.0,1.0,1.0
atrw,48,14.0,1.0,1.0,1.0
atrw,49,4.0,1.0,1.0,1.0
atrw,51,2.0,1.0,1.0,1.0
atrw,52,4.0,1.0,1.0,1.0
atrw,54,4.0,1.0,1.0,1.0
atrw,55,4.0,1.0,1.0,1.0
atrw,57,3.0,1.0,1.0,1.0
atrw,6,3.0,1.0,1.0,1.0
atrw,60,2.0,1.0,1.0,1.0
atrw,61,6.0,0.5,1.0,0.6666666666666666
atrw,63,7.0,0.42857142857142855,0.75,0.5454545454545454
atrw,64,4.0,1.0,1.0,1.0
atrw,66,4.0,1.0,1.0,1.0
atrw,67,2.0,1.0,1.0,1.0
atrw,69,2.0,1.0,1.0,1.0
atrw,7,10.0,1.0,1.0,1.0
atrw,70,5.0,1.0,1.0,1.0
atrw,72,3.0,1.0,1.0,1.0
atrw,73,12.0,0.5,0.6,0.5454545454545454
atrw,75,4.0,0.5,0.2,0.2857142857142857
atrw,76,2.0,1.0,1.0,1.0
atrw,78,3.0,0.6666666666666666,1.0,0.8
atrw,79,5.0,0.8,0.5714285714285714,0.6666666666666666
atrw,81,2.0,1.0,0.6666666666666666,0.8
atrw,82,2.0,1.0,1.0,1.0
atrw,84,4.0,1.0,1.0,1.0
