dataset,train_images,train_ids,mean_train_per_id,min_train_per_id,max_train_per_id,max_min_ratio,cv_train,gini_train,found_runs,best_acc,best_macro_f1,best_weighted_f1,best_w_minus_m_f1,best_support_vs_recall_spearman,best_recall_support_le1,best_recall_support_ge3,best_eval_path
atrw,4340,182,23.846153846153847,8.0,200.0,25.0,1.1328795542491954,0.436430850255735,470,0.998139534883721,0.996232339089482,0.9980863787375416,0.0018540396480595,0.0540822483780048,,0.9949109414758268,evaluations/full_evals/rmbkg_False_tm_False_disk_PCA_128_GMM_256_gv_False_lg_True_v1/ATRW_evaluation.json
cowdataset,1019,12,84.91666666666667,26.0,134.0,5.153846153846154,0.38145658268796073,0.21794242721622506,53,1.0,1.0,1.0,0.0,,1.0,1.0,evaluations/full_evals/rmbkg_True_tm_True_aliked_PCA_128_GMM_256_gv_True_lg_True_v1/cowdataset_evaluation.json
chicks4freeid,916,48,19.083333333333332,5.0,41.0,8.2,0.4067234936724271,0.22866630276564776,33,0.9176470588235294,0.8896735209235209,0.9175502928444106,0.0278767719208896,0.245604742979425,0.5,0.9402777777777778,evaluations/full_evals/rmbkg_False_tm_False_ensamble_PCA_128_GMM_256_gv_True_lg_True_v1/chicks4freeid_evaluation.json
czoo,1686,24,70.25,50.0,89.0,1.78,0.15873907387162348,0.09064847765915382,26,0.9929078014184396,0.993110578527245,0.9928959692553072,-0.0002146092719378,-0.0145006146924787,,0.9928571428571428,evaluations/full_evals/rmbkg_False_tm_False_ensamble_PCA_128_GMM_256_gv_True_lg_True_v1/czoo_evaluation.json
elpephants,1573,274,5.740875912408759,1.0,17.0,17.0,0.595708259099498,0.3232073169034018,26,0.5128712871287129,0.3995023358993947,0.4678398718992779,0.0683375359998831,0.2872655875830884,0.3283582089552239,0.6092307692307692,evaluations/full_evals/rmbkg_True_tm_True_disk_PCA_128_GMM_256_gv_True_lg_True_vfinal_elpephants_global_gv/elpephants_evaluation.json
sealid,1663,57,29.17543859649123,9.0,106.0,11.777777777777779,0.6673828313468166,0.34659408593642854,53,0.9169435215946844,0.8622017384865778,0.9091939258679648,0.0469921873813868,0.0836110449447888,,0.9042096146747308,evaluations/full_evals/rmbkg_False_tm_False_ensamble_PCA_128_GMM_256_gv_False_lg_True_v2/SealID_evaluation.json
seastarreid2023,1862,91,20.46153846153846,10.0,32.0,3.2,0.19779887589721842,0.10679760626054934,23,0.7990654205607477,0.8147969866390918,0.7900240984353136,-0.0247728882037782,-0.4055886477193017,,0.8276625704045059,evaluations/full_evals/rmbkg_False_tm_False_disk_PCA_128_GMM_256_gv_False_lg_True_v1/seastarreid2023_evaluation.json
