dataset,train_ids,train_images,mean_train_per_id,min_train_per_id,max_train_per_id,max_min_ratio,cv_train,gini_train,n_runs,acc_mean,acc_median,acc_std,acc_min,acc_max,f1_mean
atrw,182,4340,23.846153846153847,8.0,200.0,25.0,1.1328795542491954,0.436430850255735,5.0,0.93564,0.9423,0.010227316363543267,0.9219,0.9433,0.9357200000000001
cowdataset,12,1019,84.91666666666667,26.0,134.0,5.153846153846154,0.38145658268796073,0.21794242721622506,5.0,0.89322,0.8862,0.06154499979689658,0.8238,0.9675,0.9089
chicks4freeid,48,916,19.083333333333332,5.0,41.0,8.2,0.4067234936724271,0.22866630276564776,5.0,0.86704,0.8588,0.06477702524815418,0.7706,0.9353,0.8606200000000002
czoo,24,1686,70.25,50.0,89.0,1.78,0.15873907387162348,0.09064847765915382,5.0,0.9219799999999999,0.9905,0.09990238735886146,0.7778,0.9929,0.92078
elpephants,274,1573,5.740875912408759,1.0,17.0,17.0,0.595708259099498,0.3232073169034018,3.0,0.24686666666666668,0.2356,0.039814109726745546,0.2139,0.2911,0.22473333333333334
sealid,57,1663,29.17543859649123,9.0,106.0,11.777777777777779,0.6673828313468166,0.34659408593642854,5.0,0.74676,0.789,0.08003832207136784,0.6283,0.8153,0.7398
seastarreid2023,91,1862,20.46153846153846,10.0,32.0,3.2,0.19779887589721842,0.10679760626054934,,,,,,,
