dataset,found_runs,best_acc,best_macro_f1,best_weighted_f1,best_w_minus_m_f1,best_support_vs_recall_spearman,best_recall_support_le1,best_recall_support_ge3,best_eval_path
atrw,470,0.998139534883721,0.9962323390894819,0.9980863787375415,0.0018540396480595245,0.05408224837800482,,0.9949109414758268,evaluations/full_evals/rmbkg_False_tm_False_disk_PCA_128_GMM_256_gv_False_lg_True_v1/ATRW_evaluation.json
cowdataset,53,1.0,1.0,1.0,0.0,,1.0,1.0,evaluations/full_evals/rmbkg_True_tm_True_aliked_PCA_128_GMM_256_gv_True_lg_True_v1/cowdataset_evaluation.json
chicks4freeid,33,0.9176470588235294,0.8896735209235209,0.9175502928444106,0.027876771920889665,0.24560474297942508,0.5,0.9402777777777778,evaluations/full_evals/rmbkg_False_tm_False_ensamble_PCA_128_GMM_256_gv_True_lg_True_v1/chicks4freeid_evaluation.json
czoo,26,0.9929078014184397,0.993110578527245,0.9928959692553072,-0.00021460927193783785,-0.014500614692478746,,0.9928571428571429,evaluations/full_evals/rmbkg_False_tm_False_ensamble_PCA_128_GMM_256_gv_True_lg_True_v1/czoo_evaluation.json
elpephants,26,0.5128712871287129,0.3995023358993947,0.4678398718992779,0.06833753599988318,0.28726558758308846,0.3283582089552239,0.6092307692307692,evaluations/full_evals/rmbkg_True_tm_True_disk_PCA_128_GMM_256_gv_True_lg_True_vfinal_elpephants_global_gv/elpephants_evaluation.json
sealid,53,0.9169435215946844,0.8622017384865778,0.9091939258679647,0.046992187381386885,0.0836110449447888,,0.9042096146747309,evaluations/full_evals/rmbkg_False_tm_False_ensamble_PCA_128_GMM_256_gv_False_lg_True_v2/SealID_evaluation.json
seastarreid2023,23,0.7990654205607477,0.8147969866390918,0.7900240984353136,-0.02477288820377821,-0.40558864771930175,,0.8276625704045059,evaluations/full_evals/rmbkg_False_tm_False_disk_PCA_128_GMM_256_gv_False_lg_True_v1/seastarreid2023_evaluation.json
