dataset,train_images,train_ids,mean_train_per_id,min_train_per_id,max_train_per_id,max_min_ratio,cv_train,gini_train,n_runs,acc_mean,acc_median,acc_std,acc_min,acc_max,f1_mean
atrw,4340,182,23.846153846153847,8.0,200.0,25.0,1.1328795542491954,0.436430850255735,16,0.9693,0.9735,0.014724175132527245,0.9395,0.9823,0.968225
cowdataset,1019,12,84.91666666666667,26.0,134.0,5.153846153846154,0.38145658268796073,0.21794242721622506,15,0.9372933333333333,0.9783,0.07054755707693793,0.7696,1.0,0.9441066666666666
chicks4freeid,916,48,19.083333333333332,5.0,41.0,8.2,0.4067234936724271,0.22866630276564776,25,0.8748239999999999,0.9,0.06901784358651998,0.6706,0.9412,0.869404
czoo,1686,24,70.25,50.0,89.0,1.78,0.15873907387162348,0.09064847765915382,9,0.8219,0.7612,0.14095681962927514,0.6478,0.9905,0.8199555555555555
elpephants,1573,274,5.740875912408759,1.0,17.0,17.0,0.595708259099498,0.3232073169034018,16,0.33191875,0.3436,0.13056919094870734,0.1366,0.5208,0.29915
sealid,1663,57,29.17543859649123,9.0,106.0,11.777777777777779,0.6673828313468166,0.34659408593642854,12,0.7434,0.7914,0.10947800111105759,0.5707,0.8513,0.7368166666666666
seastarreid2023,1862,91,20.46153846153846,10.0,32.0,3.2,0.19779887589721842,0.10679760626054934,10,0.66374,0.6698,0.11016830760250428,0.4791,0.7721,0.64914
